ZTF_Name,Class,col3,col4,col5,col6,col7,Version,col9
ZTF19acxxwrs,II,0.02508,,2458825.5,2460210.59,-1385.09,ZTF19acxxwrs_20191208_Lijiang-2.4m_v1.ascii,0
ZTF19abxequc,SLSN-II,0.116,,2459141.5,2460183.11,-1041.61,ZTF19abxequc_20201019_Keck1_v1.ascii,0
ZTF19acyogrm,Ic,0.02,,2459112.5,2460228.16,-1115.66,ZTF19acyogrm_20200920_Keck1_v1.ascii,0
ZTF19acyogrm,Ic,0.02,,2459141.5,2460228.16,-1086.66,ZTF19acyogrm_20201019_Keck1_v1.ascii,0
ZTF19abyzuli,-,,,2459141.5,2460518.52,-1377.02,ZTF19abyzuli_20201019_P60_v1.ascii,0
ZTF19abyzuli,-,,,2459141.5,2460518.52,-1377.02,ZTF19abyzuli_20201019_P60_v2.ascii,0
ZTF19adcecwu,Ia,0.00924,,2458866.5,2460246.36,-1379.86,ZTF19adcecwu_20200118_MMT_v1.ascii,0
ZTF19adcfsoc,SLSN-I.5,0.26,,2459234.5,2460280.49,-1045.99,ZTF19adcfsoc_20210120_Keck1_v1.ascii,0
ZTF19acxqaot,IIn,0.04588,,2458856.5,2460243.61,-1387.11,ZTF19acxqaot_20200108_P60_v1.ascii,0
ZTF19acxqaot,IIn,0.04588,,2458861.5,2460243.61,-1382.11,ZTF19acxqaot_20200113_LT_v1.ascii,0
ZTF19acxqaot,IIn,0.04588,,2458861.5,2460243.61,-1382.11,ZTF19acxqaot_20200113_LT_v2.ascii,0
