,ZTF_Name,Version,subject_ids,NoMatch,#1,#2,#3,#4,#5
1757,ZTF19abbxykm,ZTF19abbxykm_20190816_P60_v1.ascii,53627891,0,2,1,1,6,1
1758,ZTF19abcejlb,ZTF19abcejlb_20190708_P60_v2.ascii,53627907,1,8,0,1,1,0
1759,ZTF19abcejoa,ZTF19abcejoa_20190708_P60_v1.ascii,53627909,0,0,2,0,5,4
1760,ZTF19abclykm,ZTF19abclykm_20190913_P60_v1.ascii,53627918,2,0,3,1,3,0
1761,ZTF19abcndvf,ZTF19abcndvf_20190701_P60_v1.ascii,53627924,1,6,0,1,0,2
1762,ZTF19abcyqqg,ZTF19abcyqqg_20190711_P60_v1.ascii,53627942,3,0,2,4,1,1
1763,ZTF19abddqhy,ZTF19abddqhy_20190706_P60_v1.ascii,53627944,3,4,2,2,0,0
1764,ZTF19abddqhy,ZTF19abddqhy_20190719_P60_v1.ascii,53627945,0,4,0,1,1,4
1765,ZTF19abdjsss,ZTF19abdjsss_20190704_P200_v1.ascii,53627948,1,1,0,0,7,1
1766,ZTF19abdjwtv,ZTF19abdjwtv_20190724_P60_v1.ascii,53627951,3,1,2,0,5,0
1767,ZTF19abdkfqe,ZTF19abdkfqe_20190704_P60_v1.ascii,53627964,0,1,1,1,7,3
1768,ZTF19abdkgmf,ZTF19abdkgmf_20190809_P200_v1.ascii,53627968,2,0,4,5,0,0
1769,ZTF19abdkgwo,ZTF19abdkgwo_20191010_P60_v1.ascii,53627972,1,8,0,1,0,1
1770,ZTF19abdoior,ZTF19abdoior_20190704_Keck1_v1.ascii,53627977,0,8,0,0,1,2
1771,ZTF19abdoior,ZTF19abdoior_20190714_P60_v1.ascii,53627981,3,1,4,1,1,1
1772,ZTF19abdrwsz,ZTF19abdrwsz_20190710_P60_v1.ascii,53627991,0,2,6,0,3,0
1773,ZTF19abdsstx,ZTF19abdsstx_20191010_P60_v2.ascii,53627995,0,3,0,7,0,0
1774,ZTF19abdviwl,ZTF19abdviwl_20190711_P60_v1.ascii,53627996,2,4,1,1,1,2
1775,ZTF19abdyawn,ZTF19abdyawn_20190718_P60_v1.ascii,53627999,1,3,0,6,0,1
1776,ZTF19abecaca,ZTF19abecaca_20190803_P60_v1.ascii,53628004,1,6,0,2,0,2
1777,ZTF19abegizf,ZTF19abegizf_20190724_P60_v2.ascii,53628007,1,0,0,3,5,2
1778,ZTF19abegxfs,ZTF19abegxfs_20190715_P60_v1.ascii,53628012,4,3,2,1,1,0
1779,ZTF19abegxfs,ZTF19abegxfs_20190804_LT_v1.ascii,53628015,4,2,0,2,1,2
1780,ZTF19abejaiy,ZTF19abejaiy_20190712_P60_v1.ascii,53628023,6,0,0,0,1,4
1781,ZTF19abeloei,ZTF19abeloei_20190710_P60_v1.ascii,53628024,0,5,2,0,1,1
1782,ZTF19abeytzv,ZTF19abeytzv_20190713_P60_v1.ascii,53628027,10,0,0,0,1,0
1783,ZTF19abfibel,ZTF19abfibel_20190710_P60_v1.ascii,53628043,1,4,2,2,1,1
1784,ZTF19abfloxk,ZTF19abfloxk_20190713_P60_v1.ascii,53628049,8,0,0,0,2,1
1785,ZTF19abfpwia,ZTF19abfpwia_20190729_P60_v1.ascii,53628053,5,0,0,5,0,1
1786,ZTF19abfsxpw,ZTF19abfsxpw_20190714_P60_v1.ascii,53628060,2,0,2,2,0,5
1787,ZTF19abfsxpw,ZTF19abfsxpw_20190719_P60_v2.ascii,53628064,7,0,0,5,0,0
1788,ZTF19abfvhlx,ZTF19abfvhlx_20190715_P60_v1.ascii,53628070,2,6,2,0,1,0
1789,ZTF19abgbbpx,ZTF19abgbbpx_20190725_P60_v1.ascii,53628091,1,1,0,4,0,4
1790,ZTF19abgbdcp,ZTF19abgbdcp_20190801_P60_v1.ascii,53628096,3,0,0,0,2,5
1791,ZTF19abgbdcp,ZTF19abgbdcp_20190827_P200_v1.ascii,53628097,0,1,1,5,3,1
1792,ZTF19abgbdcp,ZTF19abgbdcp_20191123_Keck1_v1.ascii,53628098,1,7,2,0,0,1
1793,ZTF19abgcbey,ZTF19abgcbey_20190724_P60_v1.ascii,53628100,1,1,0,8,1,0
1794,ZTF19abgcnzi,ZTF19abgcnzi_20190713_P60_v1.ascii,53628101,5,4,0,1,1,0
1795,ZTF19abgfuhh,ZTF19abgfuhh_20190726_P60_v1.ascii,53628107,4,1,0,0,1,4
1796,ZTF19abglmpf,ZTF19abglmpf_20190716_P60_v1.ascii,53628119,5,0,0,3,0,1
1797,ZTF19abgncfz,ZTF19abgncfz_20190904_Lick_3-m_v1.ascii,53628127,0,1,4,0,3,3
1798,ZTF19abgndlf,ZTF19abgndlf_20190720_P60_v1.ascii,53628128,0,10,1,0,0,0
1799,ZTF19abgndlf,ZTF19abgndlf_20190720_P60_v2.ascii,53628129,1,2,0,2,0,5
1800,ZTF19abgnuri,ZTF19abgnuri_20190722_P60_v1.ascii,53628134,1,0,4,0,3,3
1801,ZTF19abgpgyp,ZTF19abgpgyp_20190801_P200_v1.ascii,53628140,1,1,0,0,0,8
1802,ZTF19abgqruu,ZTF19abgqruu_20190801_P200_v1.ascii,53628150,0,0,0,1,8,3
1803,ZTF19abgrcxs,ZTF19abgrcxs_20190730_P60_v1.ascii,53628164,5,4,0,2,0,0
1804,ZTF19abgsyrp,ZTF19abgsyrp_20190726_P60_v1.ascii,53628175,0,7,0,0,2,1
