Version,Resolution,Superfit_c,Superfit_z,Match,Gal,Frac(SN),Frac(gal),Phase,Av
ZTF19acgaxei_20191105_P200_v1.ascii,binnings/ZTF19acgaxei_20191105_P200_v1,II,0.0304425,II/2013ej/DEIMOS phase-band : -1.15B,Sb,0.35078016,0.6492199,-1.15,-0.4
ZTF19acgbzam_20191028_P200_v1.ascii,binnings/ZTF19acgbzam_20191028_P200_v1,Ia 91T-like,0.07,Ia 91T-like/1991T/Other phase-band : -7.0B,SB1,0.70300406,0.29699597,-7.0,-1.6
ZTF19acgdfjt_20191020_P60_v2.ascii,binnings/ZTF19acgdfjt_20191020_P60_v2,IIn,0.03675,IIn/2008fq/WFCCD phase-band : 3.0B,SB4,0.9413459,0.058654126,3.0,-2.0
ZTF19acgdfjt_20191023_APO_v1.ascii,binnings/ZTF19acgdfjt_20191023_APO_v1,IIb-flash,0.03325,IIb-flash/2013cu_early/DEIMOS phase-band : -7.0V,E,0.5739186,0.42608142,-7.0,-2.0
ZTF19acgjpgh_20191227_APO_v1.ascii,binnings/ZTF19acgjpgh_20191227_APO_v1,IIb-flash,0.060325,IIb-flash/2013cu_early/DEIMOS phase-band : -7.0V,E,0.84707826,0.15292172,-7.0,-2.0
ZTF19acgjpgh_20210211_Keck1_v1.ascii,binnings/ZTF19acgjpgh_20210211_Keck1_v1,IIn,0.0635,IIn/2010jl/LRIS phase-band : 845.34V,SB6,0.15475546,0.8452445,845.34,2.0
ZTF19acgonwy_20191023_P60_v1.ascii,binnings/ZTF19acgonwy_20191023_P60_v1,II,0.06935,II/2013fs/ALFOSC phase-band : 6.24B,Sa,0.98970556,0.01029445,6.24,-2.0
ZTF19acgpqxt_20191030_P60_v2.ascii,binnings/ZTF19acgpqxt_20191030_P60_v2,SLSN-I,0.08775,SLSN-I/2017egm/KAST phase-band : -0.39B,Sc,0.9957963,0.0042036595,-0.39,-0.4
ZTF19acgpqxt_20191106_P60_v1.ascii,binnings/ZTF19acgpqxt_20191106_P60_v1,Ia-CSM,0.08775,Ia-CSM/PTF11kx/DBSP phase-band : -1.0B,Sa,0.99981785,0.00018215925,-1.0,1.6
ZTF19acgzwbm_20191024_P200_v1.ascii,binnings/ZTF19acgzwbm_20191024_P200_v1,II-flash,0.01989,II-flash/iPTF15crj_early/GMOS phase-band : u-,Sc,0.56899893,0.43100107,u,-1.4
ZTF19acgzzea_20191028_P60_v1.ascii,binnings/ZTF19acgzzea_20191028_P60_v1,IIn,0.0315,IIn/2008fq/WFCCD phase-band : 3.0B,SB1,0.7815819,0.21841814,3.0,1.4
ZTF19achahea_20191023_P60_v1.ascii,binnings/ZTF19achahea_20191023_P60_v1,Ia 91bg-like,0.04534,Ia 91bg-like/2005bl/WFCCD phase-band : -6.87B,SB1,0.9040199,0.09598008,-6.87,0.0
ZTF19achetvw_20191028_P200_v2.ascii,binnings/ZTF19achetvw_20191028_P200_v2,SLSN-IIn,0.043,SLSN-IIn/PTF10tpz/KAST phase-band : u-,Sc,0.91491973,0.08508029,u,0.0
