,Version,Resolution,Superfit_c,Superfit_z,Match,Gal,Frac(SN),Frac(gal),Phase,Av,ZTF_Name,Zooniverse_c_broad,agreement_broad,Zooniverse_c,rlap,agreement,z
6041,ZTF19achtewn_20191026_P60_v2.ascii,ZTF19achtewn_20191026_P60_v2_10,TDE H+He,0.1,TDE H+He/ASASSN-14li/DIS+2456994.0060648,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sa,0.16663702,0.833363,9.906065,2.0,ZTF19achtewn,Ia,10,Ia-norm,4.06,7,0.1001
6042,ZTF19achtiax_20191105_P200_v1.ascii,ZTF19achtiax_20191105_P200_v1_10,Ia-02cx like,0.0261555,Ia-02cx like/2012Z/LRIS+2456001.7159954,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB3,0.6087353,0.39126468,34.404243,1.2,ZTF19achtiax,Ia,7,Ia-02cx,11.22,6,0.0222
6043,ZTF19achticg_20191103_P60_v1.ascii,ZTF19achticg_20191103_P60_v1_10,Ia-norm,0.02535,Ia-norm/2011by/KAST+2455695.7459954,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.9560391,0.043960925,5.2459955,0.0,ZTF19achticg,Ia,10,Ia-norm,43.49,10,0.0255
6044,ZTF19achtifr_20191115_P60_v1.ascii,ZTF19achtifr_20191115_P60_v1_10,IIb,0.021,IIb/2013cu/DEIMOS+2456484.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.0062437993,0.9937562,62.0,0.0,ZTF19achtifr,Ic,2,Ic-BL,4.98,2,0.7026
6045,ZTF19achtifr_20191213_P60_v1.ascii,ZTF19achtifr_20191213_P60_v1_10,IIn,0.0205,IIn/2009kr/DEIMOS+2455242.8119907,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB4,0.065197445,0.93480253,97.08037,1.4,ZTF19achtifr,Gal,9,Gal,5.21,9,0.3381
6046,ZTF19achtifr_20191223_Keck1_v1.ascii,ZTF19achtifr_20191223_Keck1_v1_10,IIn,0.021,IIn/2005cp/DBSP+2453667.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.31142676,0.68857324,108.0,0.6,ZTF19achtifr,II,7,IIn,12.1,5,0.0228
6047,ZTF19achtkzh_20191102_P60_v1.ascii,ZTF19achtkzh_20191102_P60_v1_10,IIn,0.0164615,IIn/2005cp/DBSP+2453743.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.20258887,0.79741114,184.0,-0.4,ZTF19achtkzh,Ic,5,Ic-norm,9.93,5,0.0592
6048,ZTF19achtzyx_20191025_P60_v1.ascii,ZTF19achtzyx_20191025_P60_v1_10,TDE H+He,0.04515,TDE H+He/ASASSN-14li/DIS+2456994.0060648,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.8421618,0.15783821,9.906065,2.0,ZTF19achtzyx,II,8,IIn,5.17,7,0.2373
6049,ZTF19achunqn_20191102_P60_v1.ascii,ZTF19achunqn_20191102_P60_v1_10,Ia 99aa-like,0.0205,Ia 99aa-like/1999aa/MARK-III+2451240.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.12329236,0.8767077,8.0,2.0,ZTF19achunqn,Ia,4,Ia-norm,4.55,3,0.0704
6050,ZTF19achvpik_20191105_P200_v1.ascii,ZTF19achvpik_20191105_P200_v1_10,Ia-norm,0.084,Ia-norm/2009Y/LRIS+2454882.165,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.88311917,0.11688086,6.0206676,-2.0,ZTF19achvpik,Ic,5,Ic-SLSN,10.26,5,0.1939
